,MapNumber,Score,matchedTittle,movieTittle
319,1597,100,Veronica Mars,Veronica MarsåÊ            
326,4453,100,Don McKay,Don McKayåÊ
329,11238,100,Emma,EmmaåÊ            
330,8338,100,Videodrome,VideodromeåÊ
338,12430,100,Miss Julie,Miss JulieåÊ
339,7914,100,Somewhere in Time,Somewhere in TimeåÊ
342,7876,100,The Elephant Man,The Elephant ManåÊ
343,8119,100,The Man From Snowy River,The Man from Snowy RiveråÊ
344,8005,100,Mommie Dearest,Mommie DeareståÊ
346,8016,100,Nighthawks,NighthawksåÊ
347,8135,100,The Beastmaster,The BeastmasteråÊ
353,8181,100,Jekyll and Hyde Together Again,Jekyll and Hyde... Together AgainåÊ
354,6575,100,The OH in Ohio,The Oh in OhioåÊ
355,6279,100,Out of the Blue,Out of the BlueåÊ
357,7719,100,Decoys,DecoysåÊ
358,12629,100,Saving Grace,Saving GraceåÊ            
359,1335,100,Area 51,Area 51åÊ
367,1128,100,Christmas Eve,Christmas EveåÊ
376,7920,100,The Awakening,The AwakeningåÊ
379,7520,100,Camping Sauvage,Camping sauvageåÊ
381,2902,100,Barfi!,BarfiåÊ
382,5560,100,All Hat,All HatåÊ
384,7860,100,The Blue Lagoon,The Blue LagoonåÊ
385,8109,100,Fast Times at Ridgemont High,Fast Times at Ridgemont HighåÊ
389,8879,100,Salvador,SalvadoråÊ
397,4194,100,Animal Kingdom,Animal KingdomåÊ            
398,9780,100,Night of the Living Dead,Night of the Living DeadåÊ
400,8602,93,Return of the Living Dead,The Return of the Living DeadåÊ
403,12629,100,Saving Grace,Saving GraceåÊ            
407,3605,100,Red State,Red StateåÊ
409,2968,100,Holy Motors,Holy MotorsåÊ
410,12494,100,The Velocity of Gary,The Velocity of GaryåÊ
412,3945,100,Another Happy Day,Another Happy DayåÊ
427,3823,100,Down for Life,Down for LifeåÊ
432,13345,100,Empire,EmpireåÊ            
438,8658,100,Day of the Dead,Day of the DeadåÊ
451,5574,100,August,AuguståÊ
452,3529,100,One Day,Day OneåÊ
453,8251,100,A Christmas Story,A Christmas StoryåÊ
458,6706,100,Feast,FeaståÊ
463,12982,97,Pokemon 3: The Movie,PokÌ©mon 3: The MovieåÊ
467,8618,100,Krush Groove,Krush GrooveåÊ
475,11407,100,Freeway,FreewayåÊ
477,9827,95,Brain Dead,BrainDeadåÊ            
479,5404,100,The Grand,The GrandåÊ            
481,7318,100,My Big Fat Independent Movie,My Big Fat Independent MovieåÊ
487,3628,100,Point Blank,Point BlankåÊ
