,MapNumber,Score,matchedTittle,movieTittle
0,732.0,82.0,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force Awakens             
1,10251.0,95.0,The Lover,The Lovers 
2,206.0,69.0,Shin Godzilla,Godzilla Resurgence 
3,6339.0,100.0,Miami Vice,Miami Vice             
4,3400.0,94.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part II 
5,206.0,69.0,Shin Godzilla,Godzilla Resurgence 
6,3400.0,95.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part I 
7,5947.0,61.0,The Last Sin Eater,Asterix at the Olympic Games 
8,4045.0,100.0,The A-Team,The A-Team             
9,5089.0,100.0,"10,000 B.C.","10,000 B.C.             "
10,95.0,74.0,Ben-Hur (2016),Ben-Hur 
11,12887.0,100.0,Hannibal,Hannibal             
12,5560.0,70.0,All Hat,All That Jazz 
13,8117.0,100.0,Creepshow,Creepshow 
14,13737.0,100.0,Daredevil,Daredevil             
15,6944.0,100.0,Bewitched,Bewitched             
16,551.0,100.0,Evolution,Evolution 
17,7804.0,61.0,Incantato,Top Cat Begins 
18,6933.0,100.0,Constantine,Constantine             
19,12153.0,100.0,Life,Life             
20,12137.0,100.0,Sleepy Hollow,Sleepy Hollow             
21,11256.0,100.0,Last Man Standing,Last Man Standing             
22,13260.0,78.0,Red Dragon,Red Dawn 
23,13806.0,100.0,The Missing,The Missing             
24,12540.0,100.0,Rules of Engagement,Rules of Engagement             
25,6563.0,53.0,A Guide to Recognizing Your Saints,Xi you ji zhi: Sun Wukong san da Baigu Jing 
26,9082.0,65.0,Date with an Angel,"Sabrina, the Teenage Witch             "
27,11349.0,67.0,Ridicule,The Ridiculous 6 
28,5069.0,100.0,Sex and the City,Sex and the City             
29,13722.0,100.0,Anger Management,Anger Management             
30,10645.0,76.0,Stargate,Stargate SG-1             
31,11987.0,71.0,Lolita (1998),Lolita 
32,2069.0,72.0,Now You See Me,Eye See You 
33,10145.0,76.0,Unforgiven,Unforgotten             
34,4600.0,69.0,Land of the Lost,A Touch of Frost             
35,7446.0,100.0,Twisted,Twisted             
36,5158.0,100.0,Defiance,Defiance             
37,4827.0,100.0,Outlander,Outlander             
38,4058.0,85.0,Tooth Fairy,The Tooth Fairy 
39,8093.0,100.0,First Blood,First Blood 
40,13355.0,100.0,Solaris,Solaris 
41,8176.0,100.0,Inchon,Inchon 
42,6954.0,100.0,"Yours, Mine and Ours","Yours, Mine and Ours "
