,MapNumber,Score,matchedTittle,movieTittle,,,,,
93,6852,80,Unnatural and Accidental,Accidental LoveåÊ,,,,,0
94,14007,67,Levity,ViyåÊ,,,,,0
95,7701,100,Face,The Face of an AngelåÊ,,,,,1
96,6355,100,The Omen (2006),The OmenåÊ,,,,,1
97,833,100,Shaun the Sheep Movie,Shaun the SheepåÊ            ,,,,,1
98,8614,100,Lifeforce,LifeforceåÊ,,,,,1
99,13373,100,The Powerpuff Girls Movie,The Powerpuff GirlsåÊ            ,,,,,1
100,8610,100,Perfect,A Perfect PlanåÊ,,,,,1
101,8479,100,Sheena,SheenaåÊ,,,,,1
102,3576,100,Carnage (2011),CarnageåÊ,,,,,1
103,12920,70,A Knight's Tale,A Turtle's Tale: Sammy's AdventuresåÊ,,,,,0
104,881,100,True Story,The True Story of Puss'N BootsåÊ,,,,,1
105,3265,100,Space Dogs 3D,Space DogsåÊ,,,,,1
106,6761,74,Iron Island,IroncladåÊ,,,,,0
107,6487,77,Water,WaterlooåÊ,,,,,0
108,4039,100,Red,Red SkyåÊ,,,,,1
109,13010,100,The Forsaken,ForsakenåÊ,,,,,1
110,0,100,Rogue One: A Star Wars Story,RogueåÊ            ,,,,,1
111,10945,100,Assassins,Bodyguards and AssassinsåÊ,,,,,1
112,5971,100,Gandhi My Father,GandhiåÊ,,,,,1
113,2551,100,The Sorcerer and the White Snake,SorcereråÊ,,,,,1
114,2491,100,Underdogs,UnderdogsåÊ,,,,,1
115,12199,100,The Bachelor,The BacheloråÊ            ,,,,,1
116,1057,100,The Connection,The French ConnectionåÊ,,,,,1
117,5126,100,Tyler Perry's Meet the Browns,Meet the BrownsåÊ            ,,,,,1
118,7135,100,Black,The Black HoleåÊ,,,,,1
119,12495,69,I Want You,Paint Your WagonåÊ,,,,,0
120,4273,100,Monsters,Yu-Gi-Oh! Duel MonstersåÊ            ,,,,,1
121,8591,100,Ladyhawke,LadyhawkeåÊ,,,,,1
122,4542,100,Up,Fired UpåÊ            ,,,,,1
123,832,100,The Secret in their Eyes (2015),Secret in Their EyesåÊ,,,,,1
124,420,77,Sweet 20,Sweet CharityåÊ,,,,,0
125,4007,74,Inception,PerceptionåÊ            ,,,,,0
126,1541,62,Transcendence,PasschendaeleåÊ,,,,,0
127,10747,100,The Chase,The Doombolt ChaseåÊ            ,,,,,1
128,1898,100,Touch the Wall,The TouchåÊ,,,,,1
129,372,100,Three,Three Kingdoms: Resurrection of the DragonåÊ,,,,,1
130,9978,100,Shattered,ShatteredåÊ,,,,,1
131,4665,71,Amelia,ZambeziaåÊ,,,,,0
132,2260,78,Raanjhana,RamanujanåÊ,,,,,0
133,10797,63,Leprechaun 2,Dwegons and LeprechaunsåÊ,,,,,0
134,158,100,Hands of Stone,Hands of StoneåÊ,,,,,1
135,2066,100,Lone Survivor,SurvivoråÊ,,,,,1
136,2045,100,Frozen,The Frozen GroundåÊ,,,,,1
137,2304,100,The Shining (2013 re-release),The ShiningåÊ,,,,,1
138,8253,71,Valley Girl,Fight ValleyåÊ,,,,,0
139,2865,100,Gone,"Gone, Baby, GoneåÊ            ",,,,,1
140,11916,100,Firestorm,FirestormåÊ,,,,,1
141,5254,100,The Fall,The Fall of the Roman EmpireåÊ,,,,,1
142,83,100,Inferno,Out of InfernoåÊ,,,,,1
143,12986,100,O,The O.C.åÊ            ,,,,,1
144,3343,77,Sushi: The Global Catch,Catch-22åÊ,,,,,0
145,8027,100,Blow Out,Blow OutåÊ,,,,,1
146,11337,100,Unforgettable,UnforgettableåÊ            ,,,,,1
147,346,100,Howards End (2016 Restoration),RestorationåÊ,,,,,1
148,4796,100,The Informers,The InformersåÊ,,,,,1
149,13487,100,Rain,I Come with the RainåÊ,,,,,1
150,3224,100,The Day,Day of the DeadåÊ,,,,,1
151,3589,100,I Am,I Am WrathåÊ,,,,,1
152,13010,100,The Forsaken,ForsakenåÊ,,,,,1
153,4039,100,Red,Red SonjaåÊ,,,,,1
154,3143,100,Red Lights (2012),Red LightsåÊ,,,,,1
155,1809,100,Big Bad Wolves,WolvesåÊ,,,,,1
156,222,100,The Little Prince,The PrinceåÊ,,,,,1
157,12568,73,28 Days,55 Days at PekingåÊ,,,,,0
158,13260,75,Red Dragon,Dragon HuntersåÊ,,,,,0
159,9211,74,Alien Nation,Damnation AlleyåÊ,,,,,0
160,5741,100,The Messengers,The MessengersåÊ            ,,,,,1
161,5059,80,The Dark Knight,Arn: The Knight TemplaråÊ,,,,,0
162,10489,100,The Meteor Man,MeteoråÊ,,,,,1
163,978,87,Welcome to Me,Welcome to the SticksåÊ,,,,,1
164,12920,70,A Knight's Tale,Hachi: A Dog's TaleåÊ,,,,,0
165,1532,60,Oculus,ZuluåÊ,,,,,0
166,9371,64,Aloha Summer,LilyhammeråÊ            ,,,,,0
167,11179,100,Scream,Scream: The TV SeriesåÊ            ,,,,,1
168,339,67,The Wave,Tidal WaveåÊ,,,,,0
169,95,100,Ben-Hur (2016),Ben-HuråÊ,,,,,1
170,7894,100,The Hunter,The Deer HunteråÊ,,,,,1
171,8249,100,The Dead Zone,The Dead ZoneåÊ            ,,,,,1
172,12253,100,The Love Letter,The Love LetteråÊ,,,,,1
173,2195,100,The Company You Keep,The CompanyåÊ            ,,,,,1
174,1828,75,Lilting,ListeningåÊ,,,,,0
175,8146,80,Silent Rage,Silent TriggeråÊ,,,,,0
176,2412,100,Winnie Mandela,Winnie MandelaåÊ,,,,,1
177,9659,71,Blood Red,Bathory: Countess of BloodåÊ,,,,,0
178,2723,100,Khumba,KhumbaåÊ,,,,,1
179,687,73,Automatic Hate,AutomataåÊ,,,,,0
180,12617,100,Dungeons & Dragons,Dungeons & Dragons: Wrath of the Dragon GodåÊ,,,,,1
181,7390,49,Christmas with the Kranks,Chiamatemi Francesco - Il Papa della genteåÊ,,,,,0
182,7774,64,Incident at Loch Ness,Shinjuku IncidentåÊ,,,,,0
