706,75280058
975,28837115
3821,24600000
4510,0
3983,0
1826,41597830
2863,49797148
4093,6800000
4488,1229197
2643,11204499
4066,0
236,125332007
1584,32095318
2829,261481
4050,63555
3271,32391374
2224,0
2050,218051260
574,40932372
453,69772969
771,363024263
2936,33583175
4298,49000
461,38542418
1403,18306166
66,113745408
2668,687081
1318,23360779
1320,80000000
4181,609042
3839,4170647
3482,56536016
2083,36658108
146,209364921
4149,119841
1525,100422786
2630,25011000
1905,5297411
92,303001229
3919,71248
4411,13493
833,16264475
2403,13005485
2227,14000000
3820,13200000
3829,10000000
3523,13350177
3782,104257
1845,21554585
882,153620822
1395,28064226
1883,9286314
2080,35841901
4042,12667
2578,1953732
266,132014112
256,144795350
1412,11405825
2220,5918742
3775,31063038
1339,82300000
3479,87025093
343,209019489
2169,1147784
1065,19377727
1076,2154540
3410,3588432
1946,39235088
3397,11642254
694,75764085
214,64736114
950,26616999
2825,3950294
1149,72455275
2854,35537564
2573,7219578
2985,14479776
3490,41833347
604,28965197
1147,75274748
4467,0
1874,13651662
3612,0
1829,31526393
3232,50000
488,323505540
243,98780042
4698,424760
4095,0
1723,11137801
262,167007184
2438,4839383
2127,18252684
1865,13920741
912,70496802
3318,700000
4558,0
2013,49024969
1423,6448817
2274,6061759
2974,28873374
2344,90485233
4166,0
1804,46836394
280,85017401
1082,53300852
1902,134904
618,171383253
2963,33071558
1618,11900000
785,28328132
186,137748063
13,89289910
3951,0
3845,3559990
452,50628009
772,12065985
2453,1554566
2583,1197786
997,53574088
2678,49369900
102,89732035
1034,70001065
3749,5000000
1294,623374
4626,22757819
4501,2808000
446,69102910
1741,91457688
613,43568507
4091,673
3305,4720371
455,55350897
2253,4750000
2245,15911333
2962,21371425
2948,28435406
1557,49186871
2652,2474000
320,131144183
1390,28995450
1212,28535768
3871,128937
341,102515793
499,120776832
3146,39462438
3522,13464388
164,93926386
1990,30059386
3696,864959
2779,27281507
1823,35143332
203,107285004
1273,127214072
388,51396781
4682,1227508
3151,14879556
2519,22189039
2341,6948633
4483,0
129,61937495
3536,11014043
4519,255352
2949,25339117
1188,41797066
2771,42365600
2851,0
3507,24809547
1067,15527125
2357,82389560
2439,4193025
2056,62933793
714,55994557
1612,14888028
3128,11860839
1177,49851591
4438,985341
260,228430993
3371,2122561
172,227137090
1827,33687630
3088,546545
1900,1697956
2367,30324946
2545,13337299
4316,15156
1506,72077000
813,58422650
870,37035845
334,124870275
2734,14060950
2339,6784
1438,10139254
4389,3278611
1758,16005978
3980,3330
4653,10246600
856,45207112
3211,1094798
4138,712294
2405,127175354
3548,5009677
1770,148085755
307,58867694
3971,0
1016,14946229
2753,204565000
797,105263257
431,101087161
2510,27441122
3928,32230907
475,1891821
1771,25517500
4640,12831121
3869,39852
646,37023395
4670,0
1577,38747385
4574,1027119
3261,10834406
4013,2506446
412,254455986
2356,72219395
176,26410477
4099,0
2608,74205
2374,64998368
3468,21821
744,32122249
1070,11146409
1899,85433
2385,15681020
1529,79566871
2566,7556708
4122,21158188
2580,1294640
3750,13007551
1852,17718223
3473,440821
2801,21520719
3209,1789892
3952,5731103
2470,69800000
579,28031250
4636,0
2325,5333658
4032,120620
1925,28871190
3804,84749884
338,132373442
5,28200000
3658,36000000
2353,96471845
3090,2600000
3602,238774
2735,12281500
2698,22858926
1475,54696902
4317,0
285,12189514
1039,59365105
4537,12006514
2258,560512
2532,15100000
4404,0
2311,13491653
227,187165546
546,114195633
983,124107476
301,35024475
484,127083765
184,49551662
3748,14000000
629,70450000
1025,92115211
1597,28644770
2913,2124005
3770,0
3546,5480318
888,126975169
1052,47307550
4688,0
4151,92362
4447,133778
4188,19100000
1897,777423
3849,2961991
94,127490802
2857,90556401
536,51814190
1131,138614544
1323,33037754
2422,26896744
1523,85416609
1283,71038190
2235,103001286
2039,20259297
46,90755643
918,52752475
1194,38176892
1568,41407470
750,26082914
2194,4234040
2937,32983713
295,49392095
2887,3753806
2514,24881000
2408,68525609
1267,35287788
3639,0
4474,0
2444,1666262
3592,0
1167,54967359
2666,7060876
4038,549632
405,75754670
2137,15797907
2324,5694401
1647,22359293
1531,74787599
3759,35799026
3406,4693919
1997,12784713
2479,50003300
34,245428137
3099,50000000
2264,18439082
1471,48814909
3973,65460
1822,35990505
3398,9203192
3751,12800000
4141,406035
1098,87856565
327,11000000
675,168213584
3048,152857
3834,7888703
1242,9652000
1749,45506619
3375,102308900
2328,3203044
3054,19348
2044,117224271
2833,447750
1886,5654777
4338,0
4496,423
3156,4440055
1699,2775593
4418,515005
80,259746958
4073,466702
2108,29975979
559,100614858
2337,229311
2642,10499968
781,49875589
4208,887000
1316,50213619
2593,28870
23,0
2116,20916309
2474,61400000
1118,56083966
4471,0
241,102608827
3680,7557877
4261,5997134
816,68218041
1620,12026670
3960,565592
