,MapNumber,Score,matchedTittle,movieTittle,,,,,
411,2068,57,Cloudy with a Chance of Meatballs 2,Sonny with a ChanceåÊ            ,,,,,0
412,3945,97,Another Happy Day,Another Happy DayåÊ,,,,,1
413,10600,68,No Place to Hide,A Lonely Place to DieåÊ,,,,,0
414,11432,67,Sweet Nothing,NothingåÊ,,,,,0
415,6815,52,"The Photographer, His Wife, Her Lover",The Geographer Drank His Globe AwayåÊ,,,,,0
416,11619,50,187,1776åÊ,,,,,0
417,12043,67,Fallen Angels,Hell's AngelsåÊ,,,,,0
418,8515,71,Purple Hearts,Purple VioletsåÊ,,,,,0
419,12009,75,The Eel,The VeilåÊ,,,,,0
420,4605,77,The Lovely Bones,The Loved OnesåÊ,,,,,0
421,5775,78,Vacancy,No VacancyåÊ,,,,,0
422,593,82,How He Fell in Love,How to Fall in LoveåÊ,,,,,1
423,4196,85,The Perfect Game,The Perfect WaveåÊ,,,,,1
424,95,64,Ben-Hur (2016),Ben-HuråÊ,,,,,0
425,8662,59,The Mean Season,A Man for All SeasonsåÊ,,,,,0
426,4736,75,New York,NetworkåÊ,,,,,0
427,3823,96,Down for Life,Down for LifeåÊ,,,,,1
428,6561,84,The House of Sand,House of SandåÊ,,,,,1
429,13734,33,How to Lose a Guy in 10 Days,M*A*S*HåÊ            ,,,,,0
430,9338,67,Midnight Crossing,Midnight CowboyåÊ,,,,,0
431,12232,65,Wing Commander,Chain of CommandåÊ,,,,,0
432,8985,50,Empire of the Sun,EmpireåÊ            ,,,,,0
433,10581,73,The Ballad of Little Jo,The Ballad of Cable HogueåÊ,,,,,0
434,1757,64,In Bloom,In Cold BloodåÊ,,,,,0
435,3392,69,The Loving Story,The Nun's StoryåÊ,,,,,0
436,1648,62,Haider,HarperåÊ,,,,,0
437,2045,62,Frozen,FrenzyåÊ,,,,,0
438,8658,97,Day of the Dead,Day of the DeadåÊ,,,,,1
439,2216,67,Trance,TrainåÊ,,,,,0
440,9257,63,Shakedown,SharknadoåÊ,,,,,0
441,5499,80,The Betrayal,The BetrayedåÊ,,,,,0
442,12465,71,The Taxman,TaxmanåÊ,,,,,0
443,5402,59,The Secrets,The SecretåÊ            ,,,,,0
444,5094,57,21,2:13åÊ,,,,,0
445,2733,62,The Dark Knight Rises,"Batman: The Dark Knight Returns, Part 2åÊ",,,,,0
446,5230,67,In the Name of the King: A Dungeon Siege Tale,In the Name of the King: The Last JobåÊ,,,,,0
447,10249,59,Innocent Blood,Wicked BloodåÊ,,,,,0
448,6074,64,Dans Paris,Dawn PatrolåÊ,,,,,0
449,7044,75,Lords of Dogtown,Lords of LondonåÊ,,,,,0
450,12589,69,High Fidelity,High AnxietyåÊ,,,,,0
451,5574,92,August,AuguståÊ,,,,,1
452,4606,62,Year One,Day OneåÊ,,,,,0
453,8251,97,A Christmas Story,A Christmas StoryåÊ,,,,,1
454,9808,81,Class of 1999,Class of 1984åÊ,,,,,1
455,11930,89,The Opposite of Sex,The Opposite SexåÊ,,,,,1
456,12951,60,Monster's Ball,Rosemary's BabyåÊ,,,,,0
457,11581,63,The Man Who Knew Too Little,The Man Who Shot Liberty ValanceåÊ,,,,,0
458,6706,91,Feast,FeaståÊ,,,,,1
459,28,59,Arrival,AntiviralåÊ,,,,,0
460,10527,57,Mr. Wonderful,It's a Wonderful LifeåÊ,,,,,0
461,10190,55,Captain Ron,Cat on a Hot Tin RoofåÊ,,,,,0
462,1447,79,Dawn of the Planet of the Apes,Beneath the Planet of the ApesåÊ,,,,,0
463,12982,93,Pokemon 3: The Movie,PokÌ©mon 3: The MovieåÊ,,,,,1
464,6731,64,Family Law,Family PlotåÊ,,,,,0
465,11319,76,Joe's Apartment,The ApartmentåÊ,,,,,0
466,1826,67,Closed Curtain,Torn CurtainåÊ,,,,,0
467,8618,96,Krush Groove,Krush GrooveåÊ,,,,,1
468,5684,60,American Gangster,Elmer GantryåÊ,,,,,0
469,10464,61,Judgment Night,Judgment at NurembergåÊ,,,,,0
470,12521,43,Chicken Run,Robot ChickenåÊ            ,,,,,0
471,8447,74,The River,Red RiveråÊ,,,,,0
472,8044,45,Gallipoli,Deadline GallipoliåÊ            ,,,,,0
473,280,75,Willy Wonka and the Chocolate Factory (2016 re-release),Willy Wonka & the Chocolate FactoryåÊ,,,,,0
474,1385,71,Days of Grace,Days of HeavenåÊ,,,,,0
475,11407,93,Freeway,FreewayåÊ,,,,,1
476,3649,50,Creature (2011),CreatureåÊ            ,,,,,0
477,9827,56,Brain Dead,BrainDeadåÊ            ,,,,,0
478,11153,67,Live Nude Girls,Brave New GirlåÊ,,,,,0
479,5404,58,The Grand,The GrandåÊ            ,,,,,0
480,384,77,Demon,DemonicåÊ,,,,,0
481,7318,98,My Big Fat Independent Movie,My Big Fat Independent MovieåÊ,,,,,1
482,6311,88,The Departed,The DeportedåÊ,,,,,1
483,4965,78,The Open Road,Open RoadåÊ,,,,,0
484,7664,67,The Home Teachers,They Came TogetheråÊ,,,,,0
485,4133,51,The Girl with the Dragon Tattoo,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon TattooåÊ,,,,,0
486,5167,64,Never Back Down,Never Back Down 2: The BeatdownåÊ,,,,,0
487,3628,96,Point Blank,Point BlankåÊ,,,,,1
488,13098,65,Forgive Me Father,Four Single FathersåÊ,,,,,0
489,10899,70,Dangerous Minds,Enter the Dangerous MindåÊ,,,,,0
490,8803,84,Something Wild,Something WickedåÊ,,,,,1
491,5063,43,WALL-E,AWOL-72åÊ,,,,,0
492,9399,55,The Blue Iguana,IguanaåÊ,,,,,0
493,12086,64,Chicago Cab,Chicago OvercoatåÊ,,,,,0
494,7273,62,Harry and Max,Barry MundayåÊ,,,,,0
495,933,56,The Cokeville Miracle,Pocketful of MiraclesåÊ,,,,,0
496,8864,85,At Close Range,Close RangeåÊ,,,,,1
497,4665,67,Amelia,AmnesiacåÊ,,,,,0
498,5920,75,The Ten,The OmenåÊ,,,,,0
499,5771,73,The Invisible,Griff the InvisibleåÊ,,,,,0
500,13280,60,Unfaithful,UnnaturalåÊ,,,,,0
501,6504,98,Lage Raho Munna Bhai,Lage Raho Munna BhaiåÊ,,,,,1
502,8270,80,The Black Stallion Returns,The Black StallionåÊ,,,,,0
503,988,60,Shaandaar,Sardaar JiåÊ,,,,,0
504,1866,65,Journey to the West,Journey to SaturnåÊ,,,,,0
505,4790,53,Lorna's Silence,Donovan's ReefåÊ,,,,,0
506,8312,86,The Dresser,The DressåÊ,,,,,1
507,12359,67,My Name Is Joe,A Guy Named JoeåÊ,,,,,0
508,8612,67,Silver Bullet,Silver MedalliståÊ,,,,,0
509,5254,67,The Fall,Timber FallsåÊ,,,,,0
510,13569,76,Singin' in the Rain (Re-issue),Singin' in the RainåÊ,,,,,0
511,10971,52,The Quick and the Dead,"Fat, Sick & Nearly DeadåÊ",,,,,0
512,3410,83,Rise of the Planet of the Apes,Escape from the Planet of the ApesåÊ,,,,,1
513,2147,57,Mud,HudåÊ,,,,,0
514,13900,88,Sur le Seuil,Sur le seuilåÊ,,,,,1
515,5278,77,A Christmas Tale,Christmas MailåÊ,,,,,0
516,11605,67,Sprung,StungåÊ,,,,,0
517,13002,63,Antitrust,AntibirthåÊ,,,,,0
518,10435,77,The Remains of the Day,The Rise of the KraysåÊ,,,,,0
519,4314,61,Stonewall Uprising,Alien UprisingåÊ,,,,,0
520,11317,73,Stealing Beauty,Bathing BeautyåÊ,,,,,0
521,5724,59,Shooter,Show BoatåÊ,,,,,0
522,14185,96,The Calling,The CallingåÊ,,,,,1
523,1971,72,The Strange Little Cat,The Brave Little ToasteråÊ,,,,,0
524,1057,78,The Connection,The French ConnectionåÊ,,,,,0
525,12568,86,28 Days,8 DaysåÊ,,,,,1
526,7010,67,Match Point,Impact PointåÊ,,,,,0
527,13984,64,The Safety of Objects,The Valley of DecisionåÊ,,,,,0
528,1148,89,Eden,EdenåÊ,,,,,1
529,6918,57,Chicken Little,Chicken Tikka MasalaåÊ,,,,,0
530,4691,67,Taking Woodstock,Always WoodstockåÊ,,,,,0
531,2096,61,Jack the Giant Slayer,Jack Brooks: Monster SlayeråÊ,,,,,0
532,4418,77,[Rec] 2,[Rec]åÊ,,,,,0
533,7943,87,Hide in Plain Sight,Lies in Plain SightåÊ,,,,,1
534,4821,62,Shrink,SharkskinåÊ,,,,,0
535,1162,72,Entertainment,ContainmentåÊ,,,,,0
536,1084,80,The Tribe,The TimberåÊ,,,,,0
537,826,63,In the Heart of the Sea,In the Heat of the NightåÊ            ,,,,,0
538,11195,88,Sleepers,SleeperåÊ,,,,,1
539,4348,43,No One Knows About Persian Cats,Everything You Always Wanted to Know About Sex * But Were Afraid to AskåÊ,,,,,0
540,1827,72,The King and the Mockingbird,To Kill a MockingbirdåÊ,,,,,0
541,11987,60,Lolita (1998),LolitaåÊ,,,,,0
542,7894,82,The Hunter,The HustleråÊ,,,,,1
543,5190,60,Ghost Town,Boom TownåÊ,,,,,0
544,243,58,Gentleman,Gentleman's AgreementåÊ,,,,,0
545,13058,56,Under the Sand,Alexander's Ragtime BandåÊ,,,,,0
546,6508,75,Strangers with Candy,Strangers with CandyåÊ            ,,,,,0
547,12317,55,Get Real,Get RealåÊ            ,,,,,0
548,8706,92,Subway,SubwayåÊ,,,,,1
549,12817,91,Hum to Mohabbt Karega,Hum To Mohabbat KaregaåÊ,,,,,1
550,12059,67,Twentyfourseven,24 7: Twenty Four SevenåÊ,,,,,0
551,8542,48,Eureka,EurekaåÊ            ,,,,,0
552,14114,97,This Thing of Ours,This Thing of OursåÊ,,,,,1
553,10612,98,Return of the Living Dead III,Return of the Living Dead IIIåÊ,,,,,1
554,4474,92,Circle,CircleåÊ,,,,,1
555,9607,73,Vampire's Kiss,Vampire KillersåÊ,,,,,0
556,3140,57,Free Men,Freeze FrameåÊ,,,,,0
557,1135,60,Trace Amounts,Grave EncountersåÊ,,,,,0
558,2117,67,Snitch,StitchesåÊ,,,,,0
559,9827,70,Brain Dead,Nine DeadåÊ,,,,,0
560,13931,53,To Be and to Have,"To Be Frank, Sinatra at 100åÊ",,,,,0
561,13028,67,Lantana,BananasåÊ,,,,,0
562,8473,62,Runaway,RockawayåÊ,,,,,0
563,9312,42,Wings of Desire,WingsåÊ            ,,,,,0
564,6480,62,National Lampoon's Van Wilder: The Rise of Taj,No Man's Land: The Rise of ReekeråÊ,,,,,0
565,7620,78,Highwaymen,HighwayåÊ,,,,,0
566,11425,64,Small Faces,Small ApartmentsåÊ,,,,,0
567,6866,61,Coffee Date,Coffee TownåÊ,,,,,0
568,11330,57,The Portrait of a Lady,The Torture Chamber of Dr. SadismåÊ,,,,,0
569,10195,69,Straight Talk,Straight A'såÊ,,,,,0
570,2874,55,Seeking a Friend for the End of the World,A Funny Thing Happened on the Way to the ForumåÊ,,,,,0
571,13401,64,Slackers,Slacker UprisingåÊ,,,,,0
572,8023,56,The Legend of the Lone Ranger,The Legend of Hell's Gate: An American ConspiracyåÊ,,,,,0
573,11028,86,The Walking Dead,The Walking DeceasedåÊ,,,,,1
574,8583,64,The Care Bears Movie,The Curse of Downers GroveåÊ,,,,,0
575,7362,76,Shark Tale,Shark LakeåÊ,,,,,0
576,10721,63,The Madness of King George,The Marine 4: Moving TargetåÊ,,,,,0
577,4244,95,The Square,The SquareåÊ,,,,,1
578,13376,82,Abandon,AbandonedåÊ,,,,,1
579,407,68,A Street Cat Named Bob,A Streetcar Named DesireåÊ,,,,,0
580,4359,47,Strange Powers: Stephin Merritt and the Magnetic Fields,Dr. Strangelove or: How I Learned to Stop Worrying and Love the BombåÊ,,,,,0
581,1447,81,Dawn of the Planet of the Apes,Battle for the Planet of the ApesåÊ,,,,,1
582,7177,60,Kaal,VaaluåÊ,,,,,0
583,6878,62,Agnes and His Brothers,Ed and His Dead MotheråÊ,,,,,0
584,6854,61,Hair High,Hang 'Em HighåÊ,,,,,0
585,13173,65,Herman U.S.A.,Deadline - U.S.A.åÊ,,,,,0
586,2030,62,Souldier,SublimeåÊ,,,,,0
587,1773,66,A Birder's Guide to Everything,A Beginner's Guide to SnuffåÊ,,,,,0
588,11167,82,Independence Day,Independence DaysasteråÊ,,,,,1
589,3278,98,Dysfunctional Friends,Dysfunctional FriendsåÊ,,,,,1
590,1377,75,Against the Sun,Against the WildåÊ,,,,,0
591,2548,57,Smash & Grab: The Story of the Pink Panthers,Living Dark: The Story of Ted the CaveråÊ,,,,,0
592,1447,83,Dawn of the Planet of the Apes,Conquest of the Planet of the ApesåÊ,,,,,1
593,150,58,Southside with You,You Can't Take It with YouåÊ,,,,,0
594,14116,68,From Here to Eternity (50th Anniversary),From Here to EternityåÊ,,,,,0
595,4713,59,The White Ribbon,She Wore a Yellow RibbonåÊ,,,,,0
596,2514,84,Out in the Dark,Out of the DarkåÊ,,,,,1
597,1057,77,The Connection,The ConversationåÊ,,,,,0
598,13818,96,Cabin Fever,Cabin FeveråÊ,,,,,1
599,6739,75,Can Mr. Smith Get to Washington Anymore?,Mr. Smith Goes to WashingtonåÊ,,,,,0
600,8163,65,Forced Vengeance,Kickboxer: VengeanceåÊ,,,,,0
601,3210,76,Hellbound?,SpellboundåÊ,,,,,0
602,8541,94,Repo Man,Repo ManåÊ,,,,,1
603,281,95,Unsullied,UnsulliedåÊ,,,,,1
604,3665,82,Mooz-lum,Mooz-LumåÊ,,,,,1
605,5996,93,Hatchet,HatchetåÊ,,,,,1
606,129,76,Fifty Shades of Black,Forty Shades of BlueåÊ,,,,,0
607,1411,98,Me You and Five Bucks,Me You and Five BucksåÊ,,,,,1
608,550,67,Southbound,HouseboundåÊ,,,,,0
609,7923,58,How to Beat the High Cost of Living,Wal-Mart: The High Cost of Low PriceåÊ,,,,,0
610,6253,58,Everything's Cool,Fetching CodyåÊ,,,,,0
611,13762,79,Once Upon a Time in Mexico,Once Upon a Time in QueensåÊ,,,,,0
612,5188,76,Fly Me to the Moon,Closer to the MoonåÊ,,,,,0
613,1833,67,Adult World,Mutant WorldåÊ,,,,,0
614,2063,64,Grown Ups 2,Growing Up SmithåÊ,,,,,0
615,4984,63,Chocolate,CheckmateåÊ,,,,,0
616,3530,53,Warrior,#HorroråÊ,,,,,0
617,13292,83,Windtalkers,Wind WalkersåÊ,,,,,1
618,5955,62,Chalk,ShalakoåÊ,,,,,0
619,10251,78,The Lover,The Dog LoveråÊ,,,,,0
620,2862,70,Silent House,Girl HouseåÊ,,,,,0
621,2827,83,House at the End of The Street,House at the End of the DriveåÊ,,,,,1
622,9583,82,Babar: The Movie,Batman: The MovieåÊ,,,,,1
623,8361,98,The Ballad of Gregorio Cortez,The Ballad of Gregorio CortezåÊ,,,,,1
624,11026,55,The Secret of Roan Inish,The Streets of San FranciscoåÊ            ,,,,,0
625,1033,62,Above and Beyond,Space: Above and BeyondåÊ            ,,,,,0
626,8063,79,King of the Mountain,Queen of the MountainsåÊ,,,,,0
627,8694,95,Def-Con 4,Def-Con 4åÊ,,,,,1
628,956,49,The 100-Year Old Man Who Climbed Out the Window and Disappeared,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About ItåÊ,,,,,0
629,13098,65,Forgive Me Father,Forget Me NotåÊ,,,,,0
630,5252,53,Redbelt,RebeccaåÊ,,,,,0
631,6893,85,The Long Weekend,The Lost WeekendåÊ,,,,,1
632,8490,94,C.H.U.D.,C.H.U.D.åÊ,,,,,1
633,12318,63,The King of Masks,The Lion of JudahåÊ,,,,,0
634,12037,58,"Niagara, Niagara",NiagaraåÊ,,,,,0
635,6559,57,Down in the Valley,How Green Was My ValleyåÊ,,,,,0
636,4755,79,The Girlfriend Experience,The Girlfriend ExperienceåÊ            ,,,,,0
637,9857,60,The Blood of Heroes,Da Sweet Blood of JesusåÊ,,,,,0
638,4085,80,The American,The AlgerianåÊ,,,,,0
639,3280,76,The Trouble with Bliss,The Trouble with HarryåÊ,,,,,0
640,7547,69,The Blue Butterfly,The Blue BirdåÊ,,,,,0
641,13494,50,CQ,QåÊ,,,,,0
642,1319,60,The Pardon,Grand Theft ParsonsåÊ,,,,,0
643,5686,70,Bee Movie,Extreme MovieåÊ,,,,,0
644,670,67,The Dying of the Light,The Charge of the Light BrigadeåÊ,,,,,0
645,3706,67,Bellflower,Below ZeroåÊ,,,,,0
646,10827,62,Cronos,CrowsneståÊ,,,,,0
647,11311,55,Cold Comfort Farm,Cotton Comes to HarlemåÊ,,,,,0
648,5010,76,The River Within,The Wicked WithinåÊ,,,,,0
649,14039,67,Open Hearts,Bleeding HeartsåÊ,,,,,0
650,7033,61,Wolf Creek,Wolf CreekåÊ            ,,,,,0
651,954,55,Faith of Our Fathers,Faith Like PotatoesåÊ,,,,,0
652,8249,76,The Dead Zone,The Dead UndeadåÊ,,,,,0
653,4078,77,The Last Exorcism,The Vatican ExorcismsåÊ,,,,,0
654,6132,63,Cashback,CasablancaåÊ,,,,,0
655,10116,64,Naked Tango,Lake MungoåÊ,,,,,0
656,10391,64,Rookie of the Year,Rocket Singh: Salesman of the YearåÊ,,,,,0
657,8146,69,Silent Rage,Silent RunningåÊ,,,,,0
658,1980,81,Sleepwalker,The SleepwalkeråÊ,,,,,1
659,11586,70,Love Jones,Tom JonesåÊ,,,,,0
660,5208,67,Sex Drive,Taxi DriveråÊ,,,,,0
661,574,74,Love Me True,Love Me TenderåÊ,,,,,0
662,6434,62,Letters from Iwo Jima,Sands of Iwo JimaåÊ,,,,,0
663,4723,90,Departures,DepartureåÊ,,,,,1
664,13914,96,Bubba Ho-Tep,Bubba Ho-TepåÊ,,,,,1
665,7986,95,"History of the World, Part I",History of the World: Part IåÊ,,,,,1
666,13205,97,Speedway Junky,Speedway JunkyåÊ,,,,,1
667,11447,61,The Low Life,16 to LifeåÊ,,,,,0
668,7324,97,The Helix... Loaded,The Helix... LoadedåÊ,,,,,1
669,1758,67,Hellion,HeliåÊ,,,,,0
670,2521,62,Paradise: Love,Karachi se LahoreåÊ,,,,,0
671,1477,69,Annabelle,Loving AnnabelleåÊ,,,,,0
672,7116,67,Heights,HitsåÊ,,,,,0
673,2725,67,Billy and Buddy,Jimmy and JudyåÊ,,,,,0
674,9610,70,War Party,Frat PartyåÊ,,,,,0
675,10626,79,When the Party's Over,The Party's OveråÊ,,,,,0
676,7743,62,Proteus,ProudåÊ,,,,,0
677,6358,80,The Lake House,The Poker HouseåÊ,,,,,0
678,1425,95,Childless,ChildlessåÊ,,,,,1
679,10010,63,Eve of Destruction,ZMD: Zombies of Mass DestructionåÊ,,,,,0
680,9141,61,White Water Summer,Snow White: A Deadly SummeråÊ,,,,,0
681,9853,72,Hidden Agenda,Hidden AwayåÊ,,,,,0
682,13512,68,Me Without You,My Last Day Without YouåÊ,,,,,0
683,9526,71,Shag: The Movie,Steppin: The MovieåÊ,,,,,0
684,13231,57,Sorority Girls' Revenge,Doc Holliday's RevengeåÊ,,,,,0
685,5853,76,Black Book,Black RockåÊ,,,,,0
686,8857,64,True Stories,Truth or DieåÊ,,,,,0
687,11631,88,The Pest,The PetåÊ,,,,,1
688,1612,75,Bang Bang,Bang Bang BabyåÊ,,,,,0
689,194,58,Dear Zindagi,Fear ClinicåÊ,,,,,0
690,7894,67,The Hunter,Zombie HunteråÊ,,,,,0
691,8819,70,A Fine Mess,A Fine StepåÊ,,,,,0
692,13468,92,Charly,CharlyåÊ,,,,,1
693,4497,60,The Red Chapel,Banshee ChapteråÊ,,,,,0
694,12162,38,Message in a Bottle,JesseåÊ            ,,,,,0
695,9476,64,Say Anything,Ask Me AnythingåÊ,,,,,0
696,6183,97,And Then Came Love,And Then Came LoveåÊ,,,,,1
697,4221,59,All Good Things,Food ChainsåÊ,,,,,0
698,4033,59,The Social Network,The Horror Network Vol. 1åÊ,,,,,0
699,3022,60,Elena,ElzaåÊ,,,,,0
700,8462,67,1984,1982åÊ,,,,,0
701,5605,97,London to Brighton,London to BrightonåÊ,,,,,1
702,10585,86,American Heart,American HeroåÊ,,,,,1
703,1399,96,Windsor Drive,Windsor DriveåÊ,,,,,1
704,5434,68,Praying with Lior,Crying with LaughteråÊ,,,,,0
705,13433,63,Harrison's Flowers,Harrison MontgomeryåÊ,,,,,0
706,5989,80,Live in Maid,Live-In MaidåÊ,,,,,0
707,7742,96,The Mudge Boy,The Mudge BoyåÊ,,,,,1
708,7884,55,Tess,VesselåÊ,,,,,0
709,8822,53,Transformers: The Movie,Iraq for Sale: The War ProfiteersåÊ,,,,,0
710,7660,76,The Agronomist,The ConformiståÊ,,,,,0
711,271,64,A Tale of Love and Darkness,All the Boys Love Mandy LaneåÊ,,,,,0
712,1508,67,Blended,BledåÊ,,,,,0
713,3069,67,High School,High NoonåÊ,,,,,0
714,9744,74,Mr. Destiny,DestinyåÊ,,,,,0
715,1343,98,The Sisterhood of Night,The Sisterhood of NightåÊ,,,,,1
716,10720,62,Bad Girls,B-GirlåÊ,,,,,0
717,1114,69,Adult Beginners,AdulterersåÊ,,,,,0
718,13401,70,Slackers,StarsuckersåÊ,,,,,0
719,9831,78,The Last of the Finest,The Hadza: Last of the FirståÊ,,,,,0
720,3874,91,After,AfteråÊ,,,,,1
721,8408,78,Teachers,TreacheryåÊ,,,,,0
722,6487,83,Water,WalteråÊ,,,,,1
723,25,65,The Angry Birds Movie,The Kentucky Fried MovieåÊ,,,,,0
724,660,98,They Will Have to Kill Us First,They Will Have to Kill Us FirståÊ,,,,,1
725,13664,98,Crop Circles: Quest for Truth,Crop Circles: Quest for TruthåÊ,,,,,1
726,12322,68,Straight from the Heart,Light from the DarkroomåÊ,,,,,0
727,5157,64,Untraceable,IrreplaceableåÊ,,,,,0
728,13462,73,The Son's Room,The Maid's RoomåÊ,,,,,0
729,12253,79,The Love Letter,Love LettersåÊ,,,,,0
730,9351,56,Julia and Julia,Julija in alfa RomeoåÊ,,,,,0
731,1947,97,Faith Connections,Faith ConnectionsåÊ,,,,,1
732,4687,67,The Road,High RoadåÊ,,,,,0
733,10351,96,Johnny Suede,Johnny SuedeåÊ,,,,,1
734,10534,67,Kalifornia,The CaliforniansåÊ,,,,,0
735,5957,73,Crazy Love,Crazy StoneåÊ,,,,,0
736,6172,50,Syndromes and a Century,Scott Walker: 30 Century ManåÊ,,,,,0
737,13224,98,Everything Put Together,Everything Put TogetheråÊ,,,,,1
738,13272,67,Insomnia,Insomnia ManicaåÊ,,,,,0
739,8949,60,Outrageous Fortune,The Outrageous Sophie TuckeråÊ,,,,,0
740,14018,58,No Good Deed,Now Is GoodåÊ,,,,,0
741,1488,60,God's Not Dead,Girls Gone DeadåÊ,,,,,0
742,12898,58,America's Sweethearts,America Is Still the PlaceåÊ,,,,,0
743,6696,75,Unconscious,SubconsciousåÊ,,,,,0
744,11721,67,Nowhere,Enter NowhereåÊ,,,,,0
745,12318,72,The King of Masks,The King of NajayoåÊ,,,,,0
746,7457,68,Flight of the Phoenix,Fight to the FinishåÊ,,,,,0
747,1973,60,The Devil's Hand,Alleluia! The Devil's CarnivalåÊ,,,,,0
748,7059,75,The Squid and the Whale,The Sound and the ShadowåÊ,,,,,0
749,1454,70,Gone Girl,Rodeo GirlåÊ,,,,,0
750,1950,70,The Little Bedroom,The Little Ponderosa ZooåÊ,,,,,0
751,9604,79,The Toxic Avenger Part II,The Toxic AvengeråÊ,,,,,0
752,12409,67,Diamonds,Diamond RuffåÊ,,,,,0
753,6989,74,Just Friends,Mutual FriendsåÊ,,,,,0
754,6280,55,'Tis Autumn: The Search for Jackie Paris,Rise of the Entrepreneur: The Search for a Better WayåÊ,,,,,0
755,7938,80,Roadie,RoadsideåÊ,,,,,0
756,5300,44,Heroes (2008),HeroesåÊ            ,,,,,0
757,13667,89,Love in the Time of Money,Love in the Time of MonstersåÊ,,,,,1
758,7965,63,Home Movies,Home MoviesåÊ            ,,,,,0
759,7351,97,The Dark Hours,The Dark HoursåÊ,,,,,1
760,8861,98,My Beautiful Laundrette,My Beautiful LaundretteåÊ,,,,,1
761,12695,71,Shower,Show MeåÊ,,,,,0
762,9485,60,Crimes and Misdemeanors,Cries & WhispersåÊ,,,,,0
763,6590,49,Steve Harvey's Don't Trip... He Ain't Through with Me Yet!,Intolerance: Love's Struggle Throughout the AgesåÊ,,,,,0
764,8333,96,The Evil Dead,The Evil DeadåÊ,,,,,1
765,8709,61,Revolution,RevolutionåÊ            ,,,,,0
766,4582,50,Hotel for Dogs,Rotor DR1åÊ,,,,,0
767,13722,55,Anger Management,12 Angry MenåÊ,,,,,0
768,637,74,What Happened Last Night,It Happened One NightåÊ,,,,,0
769,3545,72,The Big Year,The Big SwapåÊ,,,,,0
770,3822,96,3 Backyards,3 BackyardsåÊ,,,,,1
771,1207,58,Pierrot le fou (2015 re-issue),Pierrot le FouåÊ,,,,,0
772,4900,95,Royal Kill,Royal KillåÊ,,,,,1
773,5137,77,Death Race,Death Race 2000åÊ,,,,,0
774,10293,73,A Midnight Clear,Midnight CabaretåÊ,,,,,0
775,2834,59,Alex Cross,Anderson's CrossåÊ,,,,,0
776,13958,62,Blizzard,BizarreåÊ,,,,,0
777,9003,64,Radio Days,Graduation DayåÊ,,,,,0
778,1585,56,Dear White People,Some Guy Who Kills PeopleåÊ,,,,,0
779,1370,75,Death Valley,Death CallsåÊ,,,,,0
780,6806,62,The Devil's Miner,Amidst the Devil's WingsåÊ,,,,,0
781,14108,71,My Flesh and Blood,Teeth and BloodåÊ,,,,,0
782,5456,65,Happy Valley,Happy ValleyåÊ            ,,,,,0
783,13870,73,In the Cut,On the OutsåÊ,,,,,0
784,1270,50,Eva,ExamåÊ,,,,,0
785,6102,55,Colma: The Musical,Sunday School MusicalåÊ,,,,,0
786,235,73,Rustom,RuståÊ,,,,,0
787,3764,55,Inkubus,InkåÊ,,,,,0
788,2219,75,The Christmas Candle,The Christmas BunnyåÊ,,,,,0
789,8732,71,Ruthless People,Jesus PeopleåÊ,,,,,0
790,12676,95,Butterfly,ButterflyåÊ,,,,,1
791,7330,67,Unveiled,UnDividedåÊ,,,,,0
792,265,76,The Bronze,The FrozenåÊ,,,,,0
793,12253,97,The Love Letter,The Love LetteråÊ,,,,,1
794,4830,60,Horse Boy,Horse CampåÊ,,,,,0
795,1635,76,Gimme Shelter,Give Me ShelteråÊ,,,,,0
796,3545,74,The Big Year,The Big ParadeåÊ,,,,,0
797,875,72,Little Boy,Little Big TopåÊ,,,,,0
798,1421,97,Along the Roadside,Along the RoadsideåÊ,,,,,1
799,5837,56,The Last Legion,Western ReligionåÊ,,,,,0
800,571,67,The Sea of Trees,The StewardessesåÊ,,,,,0
801,4619,58,Under the Sea 3D,"20,000 Leagues Under the SeaåÊ",,,,,0
802,7918,93,Mad Max,Mad MaxåÊ,,,,,1
803,10630,56,The Lion King,She Done Him WrongåÊ,,,,,0
804,7692,96,Malevolence,MalevolenceåÊ,,,,,1
805,12016,63,Shooting Fish,Shooting the WarwicksåÊ,,,,,0
806,5687,67,Superbad,Super HybridåÊ,,,,,0
807,7310,94,Solitude,SolitudeåÊ,,,,,1
808,6781,98,The Case of the Grinning Cat,The Case of the Grinning CatåÊ,,,,,1
809,4825,55,Crude,OrdetåÊ,,,,,0
810,4382,68,Tales from Earthsea,The Man from EarthåÊ,,,,,0
811,5219,71,An American Carol,An American Girl HolidayåÊ,,,,,0
812,6270,53,He Was a Quiet Man,Yesterday Was a LieåÊ,,,,,0
813,532,68,The Eyes of My Mother,Theresa Is a MotheråÊ,,,,,0
814,5166,40,W.,H.åÊ,,,,,0
815,10153,67,Scent of a Woman,Archaeology of a WomanåÊ,,,,,0
816,1264,97,Butterfly Girl,Butterfly GirlåÊ,,,,,1
817,2140,73,The World's End,The World Is MineåÊ,,,,,0
818,14185,96,The Calling,The CallingåÊ,,,,,1
819,680,64,A Perfect Day,Perfect CowboyåÊ,,,,,0
