movie_title,gross,missing,movie_title,Total Gross迨/迨Theaters,Similarity,Validation
Hands of Stone题迨,,Y,Hands of Stone,4712792,0.973,Y
Hannibal题迨            ,,Y,Hannibal,"$165,092,268 ",0.964,Y
Happy Valley题迨            ,,Y,Happy Valley,67665,0.972,Y
Hard to Be a God题迨,,Y,Hard to Be a God,28608,0.971,Y
Harry Potter and the Deathly Hallows: Part II题迨,,Y,Harry Potter and the Deathly Hallows Part 2,381011219,0.893,Y
Hatchet题迨,,Y,Hatchet,175281,0.958,Y
Heartbeeps题迨,,Y,Heartbeeps,"$2,154,696 ",0.973,Y
Heavy Metal题迨,,Y,Heavy Metal (re-issue),"$546,545 ",0.904,Y
Heist题迨,,Y,Heist,"$23,510,841 ",0.936,Y
High School Musical题迨,,Y,High School,139034,0.941,Y
Highway题迨,,Y,Highway (2014),529136,0.878,Y
Holy Motors题迨,,Y,Holy Motors,641100,0.972,Y
Home Movies题迨            ,,Y,Home Movies,"$89,134 ",0.97,Y
House of Sand题迨,,Y,The House of Sand,539285,0.943,Y
Hum To Mohabbat Karega题迨,,Y,Hum to Mohabbt Karega,"$75,446 ",0.973,Y
Inchon题迨,,Y,Inchon,"$5,200,986 ",0.949,Y
Invasion U.S.A.题迨,,Y,Invasion U.S.A.,"$17,536,256 ",0.975,Y
Jekyll and Hyde... Together Again题迨,,Y,Jekyll and Hyde Together Again,"$3,792,188 ",0.986,Y
Johnny Suede题迨,,Y,Johnny Suede,"$90,091 ",0.964,Y
Julia题迨,,Y,Julia (2015),2710,0.859,Y
Khumba题迨,,Y,Khumba,1029,0.949,Y
Kickboxer: Vengeance题迨,,Y,Kickboxer,"$14,697,005 ",0.929,Y
Kicks题迨,,Y,Kicks,150191,0.936,Y
Krrish题迨,,Y,Krrish,1430721,0.949,Y
Krull题迨,,Y,Krull,"$16,519,460 ",0.936,Y
Krush Groove题迨,,Y,Krush Groove,"$11,052,713 ",0.978,Y
Ladyhawke题迨,,Y,Ladyhawke,"$18,432,000 ",0.969,Y
Lage Raho Munna Bhai题迨,,Y,Lage Raho Munna Bhai,2217562,0.982,Y
Last Man Standing题迨            ,,Y,Last Man Standing,"$18,115,927 ",0.984,Y
Lifeforce题迨,,Y,Lifeforce,"$11,603,545 ",0.969,Y
Limitless题迨            ,,Y,Limitless,79249455,0.969,Y
Live-In Maid题迨,,Y,Live in Maid,200433,0.96,Y
London to Brighton题迨,,Y,London to Brighton,6700,0.986,Y
Loose Cannons题迨,,Y,Loose Cannons,"$5,585,154 ",0.98,Y
Losin' It题迨,,Y,Losin' It,"$1,246,141 ",0.94,Y
Love Letters题迨,,Y,Love Letters (1984),"$5,269,990 ",0.901,Y
Lovesick题迨            ,,Y,Lovesick,"$10,171,304 ",0.964,Y
Luther题迨            ,,Y,Luther,"$5,791,328 ",0.949,Y
Mad Max题迨,,Y,Mad Max,"$8,750,000 ",0.941,Y
Malevolence题迨,,Y,Malevolence,127287,0.977,Y
Manito题迨,,Y,Manito,"$11,000 ",0.949,Y
McHale's Navy题迨            ,,Y,McHale's Navy,"$4,529,843 ",0.966,Y
Me You and Five Bucks题迨,,Y,Me You and Five Bucks,2105,0.982,Y
Miami Vice题迨            ,,Y,Miami Vice,63450470,0.957,Y
Miss Julie题迨,,Y,Miss Julie,"$43,941 ",0.963,Y
Modern Problems题迨,,Y,Modern Problems,"$26,154,211 ",0.983,Y
Mommie Dearest题迨,,Y,Mommie Dearest,"$19,032,261 ",0.981,Y
Mooz-Lum题迨,,Y,Mooz-lum,369129,0.941,Y
Mr. Church题迨,,Y,Mr. Church,685780,0.97,Y
Mutual Appreciation题迨,,Y,Mutual Appreciation,103509,0.992,Y
My Beautiful Laundrette题迨,,Y,My Beautiful Laundrette,"$2,451,545 ",0.99,Y
My Big Fat Independent Movie题迨,,Y,My Big Fat Independent Movie,4655,0.988,Y
"New York, New York题迨",,Y,"New York, New York (2016)",92377,0.942,Y
Night of the Living Dead题迨,,Y,Night of the Living Dead,"$5,835,247 ",0.978,Y
Nighthawks题迨,,Y,Nighthawks,"$14,905,359 ",0.973,Y
Open Road题迨,,Y,The Open Road,19716,0.947,Y
Out of the Blue题迨,,Y,Out of the Blue,1477,0.963,Y
Outlander题迨            ,,Y,Outlander,166003,0.969,Y
Pandaemonium题迨,,Y,Pandaemonium,"$5,151 ",0.979,Y
"Peace, Propaganda & the Promised Land题迨",,Y,"Peace, Propaganda and the Promised Land",4930,0.967,Y
Pete's Dragon题迨,,Y,Pete's Dragon (2016),76233151,0.937,Y
Pierrot le Fou题迨,,Y,PIERROT LE FOU,52640,0.958,Y
Point Blank题迨,,Y,Point Blank,708215,0.965,Y
Pok棠濠mon 3: The Movie题迨,,Y,Pokemon 3: The Movie,"$17,052,128 ",0.961,Y
Prophecy题迨,,Y,The Prophecy,"$16,115,878 ",0.944,Y
Quest for Fire题迨,,Y,Quest for Fire,"$20,959,585 ",0.969,Y
Rampage题迨,,Y,Rampage,"$796,368 ",0.958,Y
Red Dawn题迨,,Y,Red Dawn (1984),"$38,376,497 ",0.889,Y
Red Lights题迨,,Y,Red Lights,673828,0.972,Y
Red Sonja题迨,,Y,Red Sonja,"$6,948,633 ",0.961,Y
Red State题迨,,Y,Red State,1104682,0.965,Y
Reds题迨,,Y,Reds,"$40,382,659 ",0.918,Y
Repo Man题迨,,Y,Repo Man,"$129,000 ",0.96,Y
Restless题迨,,Y,Restless,"$18,154 ",0.964,Y
Restoration题迨,,Y,Restoration,"$4,005,941 ",0.977,Y
Return of the Living Dead III题迨,,Y,Return of the Living Dead III,"$54,207 ",0.973,Y
Return to Oz题迨,,Y,Return to Oz,"$11,137,801 ",0.927,Y
Revolution题迨            ,,Y,Revolution,"$358,574 ",0.973,Y
Rogue题迨            ,,Y,Rogue,10452,0.936,Y
Royal Kill题迨,,Y,Royal Kill,50090,0.963,Y
Rules of Engagement题迨            ,,Y,Rules of Engagement,"$61,335,230 ",0.989,Y
Rush Hour题迨            ,,Y,Rush Hour,"$141,186,864 ",0.957,Y
Salvador题迨,,Y,Salvador,"$1,500,000 ",0.964,Y
Sausage Party题迨,,Y,Sausage Party,97685686,0.975,Y
Saving Grace题迨            ,,Y,Saving Grace,"$12,178,602 ",0.967,Y
Secret in Their Eyes题迨,,Y,The Secret in Their Eyes,6391436,0.969,Y
Sex and the City题迨            ,,Y,Sex and the City,152647258,0.971,Y
Shattered题迨,,Y,Shattered,"$11,511,031 ",0.969,Y
Sheena题迨,,Y,Sheena,"$5,778,353 ",0.949,Y
Shipwrecked题迨,,Y,Shipwrecked,"$15,104,156 ",0.977,Y
Silmido题迨,,Y,Silmido,298347,0.958,Y
Singin' in the Rain题迨,,Y,Singin' in the Rain (Re-issue),"$120,420 ",0.912,Y
Sleeper题迨,,Y,Sleepers,"$53,315,285 ",0.958,Y
Sleepy Hollow题迨            ,,Y,Sleepy Hollow,"$101,071,502 ",0.978,Y
Solaris题迨,,Y,Solaris,"$14,973,382 ",0.958,Y
Solitude题迨,,Y,Solitude,6260,0.964,Y
Somewhere in Time题迨,,Y,Somewhere in Time,"$9,709,597 ",0.973,Y
Space Dogs题迨,,Y,Space Dogs 3D,14408,0.902,Y
Speedway Junky题迨,,Y,Speedway Junky,"$17,246 ",0.971,Y
Spellbound题迨,,Y,Spellbound (2003),"$5,728,581 ",0.888,Y
Star Wars: The Clone Wars题迨            ,,Y,Star Wars: The Clone Wars,35161554,0.98,Y
Strangerland题迨,,Y,Strangeland,"$713,239 ",0.943,Y
Strangers with Candy题迨            ,,Y,Strangers with Candy,2072645,0.974,Y
Subway题迨,,Y,Subway,"$390,659 ",0.949,Y
Supporting Characters题迨,,Y,Supporting Characters,4917,0.99,Y
Sur le seuil题迨,,Y,Sur le Seuil,"$2,014,071 ",0.977,Y
Survivor题迨,,Y,The Survivors,"$14,000,000 ",0.946,Y
Taxi Driver题迨,,Y,Taxi Driver (re-issue),"$962,574 ",0.908,Y
Taxman题迨,,Y,The Taxman,"$9,871 ",0.932,Y
The A-Team题迨            ,,Y,The A-Team,77222099,0.946,Y
The Awakening题迨,,Y,Awakenings,"$52,096,475 ",0.952,Y
The Bachelor题迨            ,,Y,The Bachelor,"$21,760,240 ",0.968,Y
The Bad News Bears题迨,,Y,Bad News Bears,32868349,0.968,Y
The Ballad of Gregorio Cortez题迨,,Y,The Ballad of Gregorio Cortez,"$804,963 ",0.987,Y
The Beastmaster题迨,,Y,The Beastmaster,"$14,056,528 ",0.979,Y
The Betrayed题迨,,Y,Betrayed,"$25,816,139 ",0.938,Y
The Birth of a Nation题迨,,Y,The Birth of a Nation,15861566,0.982,Y
The Blue Butterfly题迨,,Y,The Blue Butterfly,1755355,0.985,Y
The Blue Lagoon题迨,,Y,The Blue Lagoon,"$58,853,106 ",0.972,Y
